SECTION,KEY,VALUE
SUMMARY,pdb,1K24
SUMMARY,chain,A
SUMMARY,n_ca,249
SUMMARY,rsa_thresh,0.220
SUMMARY,n_dirs,192
SUMMARY,pas_centres_A,1.0
SUMMARY,widen_step_A,0.250
SUMMARY,max_half_extra_A,1.500
SUMMARY,min_half_A,11.500
SUMMARY,max_half_A,13.500
SUMMARY,COM_x,30.403
SUMMARY,COM_y,-2.402
SUMMARY,COM_z,9.879
SUMMARY,Q_max,1.210
SUMMARY,best_center_A,-0.71
SUMMARY,best_half_A,13.50
SUMMARY,best_thickness_A,27.00
SUMMARY,best_normal_x,-0.706933
SUMMARY,best_normal_y,0.186345
SUMMARY,best_normal_z,0.682292
SUMMARY,d_in_A,-14.21
SUMMARY,d_out_A,12.79
SUMMARY,center_in_x,40.446
SUMMARY,center_in_y,-5.050
SUMMARY,center_in_z,0.186
SUMMARY,center_out_x,21.359
SUMMARY,center_out_y,-0.018
SUMMARY,center_out_z,18.607

SECTION,rank,Q,normal_x,normal_y,normal_z,center,half,d_in,d_out,is_best
DIRECTIONS,165,-0.089528,0.824691,-0.254261,0.505208,0.825,13.5,-12.675,14.325,0
DIRECTIONS,166,-0.090872,0.949566,0.313177,-0.015625,0.95,13.5,-12.55,14.45,0
DIRECTIONS,167,-0.101535,0.983372,0.100825,-0.151042,0.983,13.5,-12.517,14.483,0
DIRECTIONS,168,-0.107166,-0.348519,0.912652,-0.213542,-0.349,13.5,-13.849,13.151,0
DIRECTIONS,169,-0.114472,-0.411419,-0.331668,-0.848958,-0.411,13.5,-13.911,13.089,0
DIRECTIONS,170,-0.12138,0.328894,0.943203,-0.046875,0.329,13.5,-13.171,13.829,0
DIRECTIONS,171,-0.129193,0.625049,0.084099,0.776042,0.625,13.5,-12.875,14.125,0
DIRECTIONS,172,-0.169049,0.143867,-0.639502,0.755208,0.144,13.5,-13.356,13.644,0
DIRECTIONS,173,-0.189336,-0.972852,0.203949,0.109375,-0.973,13.5,-14.473,12.527,0
DIRECTIONS,174,-0.191735,0.445497,0.87863,0.171875,0.445,13.5,-13.055,13.945,0
DIRECTIONS,175,-0.200567,-0.658023,-0.739751,-0.140625,-0.658,13.5,-14.158,12.842,0
DIRECTIONS,176,-0.208223,0.185768,-0.967445,-0.171875,0.186,13.5,-13.314,13.686,0
DIRECTIONS,177,-0.235453,-0.54734,0.833256,-0.078125,-0.547,13.5,-14.047,12.953,0
DIRECTIONS,178,-0.243794,-0.714502,0.697284,0.057292,-0.715,13.5,-14.215,12.785,0
DIRECTIONS,179,-0.244161,-0.989386,-0.142961,0.026042,-0.989,13.5,-14.489,12.511,0
DIRECTIONS,180,-0.244793,-0.879162,-0.473067,-0.057292,-0.879,13.5,-14.379,12.621,0
DIRECTIONS,181,-0.277359,0.967186,-0.244881,-0.067708,0.967,13.5,-12.533,14.467,0
DIRECTIONS,182,-0.282661,0.055874,-0.997337,0.046875,0.056,13.5,-13.444,13.556,0
DIRECTIONS,183,-0.284865,-0.911531,0.410407,-0.026042,-0.912,13.5,-14.412,12.588,0
DIRECTIONS,184,-0.291591,0.681268,-0.722167,-0.119792,0.681,13.5,-12.819,14.181,0
DIRECTIONS,185,-0.306192,0.826291,-0.563027,0.015625,0.826,13.5,-12.674,14.326,0
DIRECTIONS,186,-0.339997,0.580221,-0.808425,0.098958,0.58,13.5,-12.92,14.08,0
DIRECTIONS,187,-0.364261,-0.228986,0.973416,0.005208,-0.229,13.5,-13.729,13.271,0
DIRECTIONS,188,-0.37541,0.632767,0.773484,0.036458,0.633,13.5,-12.867,14.133,0
DIRECTIONS,189,-0.376068,-0.488685,-0.872445,-0.005208,-0.489,11.5,-11.989,11.011,0
DIRECTIONS,190,-0.397932,0.39478,-0.918052,-0.036458,0.395,13.5,-13.105,13.895,0
DIRECTIONS,191,-0.427618,0.118362,0.989015,0.088542,0.118,12.5,-12.382,12.618,0
DIRECTIONS,192,-0.442938,-0.159125,-0.98328,-0.088542,-0.159,13.5,-13.659,13.341,0
